Item #,Quantity per board,Manufacturer PN,Do Not Install,Reference designators,Vendor,Vendor Part No.,Value,Footprint,Description,LCSC Part Number,Link,Manufacturer
1,1,BC501SM,,BT101,Digi-Key,BC501SM-ND,CR1220,Oddities:BC501SM_CR1220_BAT_Handsolder,CR1220 BATTERY HOLDER, ,"<a href=""https://www.digikey.com/products/en?keywords=BC501SM-ND"">Link</a>",Memory Protection Devices
2,4,08055C104KAT2A,,C108 C103 C109 C110,Digi-Key,478-1395-1-ND,100nF,Capacitors_SMD:C_0805,CAP CER 0.1UF 50V X7R 0805,C476766,"<a href=""https://www.digikey.com/products/en?keywords=478-1395-1-ND"">Link</a>",AVX Corporation
3,1,GRM21BR61E106KA73L,DNI,C104,Digi-Key,490-5523-1-ND,10uF,Capacitors_SMD:C_0805,CAP CER 10UF 25V X5R 0805,C15850,"<a href=""https://www.digikey.com/products/en?keywords=490-5523-1-ND"">Link</a>",Murata Electronics
3,3,GRM21BR61E106KA73L,,C101 C102 C105,Digi-Key,490-5523-1-ND,10uF,Capacitors_SMD:C_0805,CAP CER 10UF 25V X5R 0805,C15850,"<a href=""https://www.digikey.com/products/en?keywords=490-5523-1-ND"">Link</a>",Murata Electronics
4,5,CG0603MLC-05LE,,D103 D104 D105 D106 D107,Digi-Key,CG0603MLC-05LECT-ND,CG0603MLC-05LECT-ND,Resistors_SMD:R_0603,VARISTOR 0603,C316054,"<a href=""https://www.digikey.com/products/en?keywords=CG0603MLC-05LECT-ND"">Link</a>",Bourns Inc.
5,2,MSS1P2L-M3/89A,DNI,D109 D108,Digi-Key,MSS1P2L-M3/89AGICT-ND,MSS1P2L-M3/89A,Diodes_SMD:DO-219AD,DIODE SCHOTTKY 20V 1A MICROSMP,C506621,"<a href=""https://www.digikey.com/products/en?keywords=MSS1P2L-M3/89AGICT-ND"">Link</a>",Vishay General Semiconductor
5,1,MSS1P2L-M3/89A,,D101,Digi-Key,MSS1P2L-M3/89AGICT-ND,MSS1P2L-M3/89A,Diodes_SMD:DO-219AD,DIODE SCHOTTKY 20V 1A MICROSMP,C506621,"<a href=""https://www.digikey.com/products/en?keywords=MSS1P2L-M3/89AGICT-ND"">Link</a>",Vishay General Semiconductor
6,1,150080RS75000,,D102,Digi-Key,732-4984-1-ND,LED,LEDs:LED_0805,LED RED CLEAR 0805 SMD,C389523,"<a href=""https://www.digikey.com/products/en?keywords=732-4984-1-ND"">Link</a>",Würth Elektronik
7,6,HZ0603A222R-10,,FB101 FB102 FB103 FB105 FB104 FB106,Digi-Key,240-2377-1-ND,Ferrite_Bead_Small,Resistors_SMD:R_0603,FERRITE BEAD 2.2 KOHM 0603 1LN,C96697,"<a href=""https://www.digikey.com/products/en?keywords=240-2377-1-ND"">Link</a>",Laird-Signal Integrity Products
8,1,TH,DNI,J102,Digi-Key,609-1525-ND,DB9 Female,Connect:DB9F_CI, , ,"<a href=""https://www.digikey.com/products/en?keywords=609-1525-ND"">Link</a>",TH
9,1,TH,DNI,J103,Digi-Key,CON-SMA-EDGE-S-ND,To Antenna,Connect:CON-SMA-EDGE-S,TH, ,"<a href=""https://www.digikey.com/products/en?keywords=CON-SMA-EDGE-S-ND"">Link</a>",TH
10,1,TH,DNI,J101,Digi-Key,CON-SMA-EDGE-S-ND,To Radio,Connect:CON-SMA-EDGE-S,TH, ,"<a href=""https://www.digikey.com/products/en?keywords=CON-SMA-EDGE-S-ND"">Link</a>",TH
11,1, ,DNI,J108,Digi-Key,np,Controlled Power,Wire_Pads:SolderWirePad_2x_1-5mmDrill_Polarized, , ,np, 
12,2, ,DNI,J104 J105,Digi-Key,np,Conn_01x08,Pin_Headers:Pin_Header_Straight_1x08, , ,np, 
13,2, ,DNI,J109 J110,Digi-Key,np,Conn_01x01,Pin_Headers:Pin_Header_Straight_1x01, , ,np, 
14,1, ,DNI,J107,Digi-Key,np,External Power Source,Wire_Pads:SolderWirePad_2x_1-5mmDrill_Polarized, , ,np, 
15,1, ,DNI,J106,Digi-Key,np,Logic Level,Pin_Headers:Pin_Header_Straight_1x04, , ,np, 
16,1,TH,DNI,J112,Digi-Key,929550-01-06-ND,Conn_01x06,Pin_Headers:Pin_Header_Angled_1x06, , ,"<a href=""https://www.digikey.com/products/en?keywords=929550-01-06-ND"">Link</a>",TH
17,1,TH,DNI,J111,Digi-Key,609-5908-ND,DB9_Male,Connect:DB9F_CI, , ,"<a href=""https://www.digikey.com/products/en?keywords=609-5908-ND"">Link</a>",TH
18,1,TH,DNI,J113,Digi-Key,CON-SMA-EDGE-S-ND,To Stub,Connect:CON-SMA-EDGE-S,TH, ,"<a href=""https://www.digikey.com/products/en?keywords=CON-SMA-EDGE-S-ND"">Link</a>",TH
19,1,DEV-11113,DNI,MOD101,Digi-Key,1568-1055-ND,Arduino Pro Mini (5V Version),Modules:Arduino_Pro_Mini,ARDUINO PRO MINI 328 5V/16MHZ, ,"<a href=""https://www.digikey.com/products/en?keywords=1568-1055-ND"">Link</a>",SparkFun Electronics
20,1,np,DNI,P101,Digi-Key,609-3487-1-ND,ISP/PDI,Pin_Headers:SM_Pin_Header_Straight_2x03, , ,"<a href=""https://www.digikey.com/products/en?keywords=609-3487-1-ND"">Link</a>",np
21,1, ,DNI,PCB201,Digi-Key,np,Printed Circuit Board,Oddities:Dummy_Empty, , ,np, 
22,1,LMN200B02-7,,Q102,Digi-Key,LMN200B02DICT-ND,LMN200,TO_SOT_Packages_SMD:SOT-363-0.65,MCU LOAD SWITCH 200MA SOT-363,C150757,"<a href=""https://www.digikey.com/products/en?keywords=LMN200B02DICT-ND"">Link</a>",Diodes Incorporated
23,1,MMBT2222A-TP,DNI,Q104,Digi-Key,MMBT2222ATPMSCT-ND,PN2222A,TO_SOT_Packages_SMD:SOT-23,TRANS NPN 40V 0.6A SOT23,C181121,"<a href=""https://www.digikey.com/products/en?keywords=MMBT2222ATPMSCT-ND"">Link</a>",Micro Commercial Co
23,2,MMBT2222A-TP,,Q101 Q103,Digi-Key,MMBT2222ATPMSCT-ND,PN2222A,TO_SOT_Packages_SMD:SOT-23,TRANS NPN 40V 0.6A SOT23,C181121,"<a href=""https://www.digikey.com/products/en?keywords=MMBT2222ATPMSCT-ND"">Link</a>",Micro Commercial Co
24,2,RC0805FR-0710KL,DNI,R103 R111,Digi-Key,311-10.0KCRCT-ND,10k,Resistors_SMD:R_0805,RES SMD 10K OHM 1% 1/8W 0805,C17414,"<a href=""https://www.digikey.com/products/en?keywords=311-10.0KCRCT-ND"">Link</a>",Yageo
24,3,RC0805FR-0710KL,,R104 R108 R109,Digi-Key,311-10.0KCRCT-ND,10k,Resistors_SMD:R_0805,RES SMD 10K OHM 1% 1/8W 0805,C17414,"<a href=""https://www.digikey.com/products/en?keywords=311-10.0KCRCT-ND"">Link</a>",Yageo
25,1,RC0805FR-07162KL,,R107,Digi-Key,311-162KCRCT-ND,162k,Resistors_SMD:R_0805,RES SMD 162K OHM 1% 1/8W 0805,C416820,"<a href=""https://www.digikey.com/products/en?keywords=311-162KCRCT-ND"">Link</a>",Yageo
26,2,RC0805FR-07100KL,,R101 R106,Digi-Key,311-100KCRCT-ND,100k,Resistors_SMD:R_0805,RES SMD 100K OHM 1% 1/8W 0805,C96346,"<a href=""https://www.digikey.com/products/en?keywords=311-100KCRCT-ND"">Link</a>",Yageo
27,1,RMCF0805FT1M00,,R105,Digi-Key,RMCF0805FT1M00CT-ND,1M,Resistors_SMD:R_0805,RES 1M OHM 1% 1/8W 0805,C107700,"<a href=""https://www.digikey.com/products/en?keywords=RMCF0805FT1M00CT-ND"">Link</a>",Stackpole Electronics Inc
28,1,RC0805FR-072K2L,,R102,Digi-Key,311-2.20KCRCT-ND,2.2k,Resistors_SMD:R_0805,RES SMD 2.2K OHM 1% 1/8W 0805,C114561,"<a href=""https://www.digikey.com/products/en?keywords=311-2.20KCRCT-ND"">Link</a>",Yageo
29,1,RC0805FR-0710RL,,R110,Digi-Key,311-10.0CRCT-ND,10,Resistors_SMD:R_0805,RES SMD 10 OHM 1% 1/8W 0805,C193989,"<a href=""https://www.digikey.com/products/en?keywords=311-10.0CRCT-ND"">Link</a>",Yageo
30,1,RC0805FR-07210KL,DNI,R113,Digi-Key,311-210KCRCT-ND,210k,Resistors_SMD:R_0805,RES SMD 210K OHM 1% 1/8W 0805,C170839,"<a href=""https://www.digikey.com/products/en?keywords=311-210KCRCT-ND"">Link</a>",Yageo
31,1,RC0805FR-07470RL,,R114,Digi-Key,311-470CRCT-ND,470,Resistors_SMD:R_0805,RES SMD 470 OHM 1% 1/8W 0805,C328396,"<a href=""https://www.digikey.com/products/en?keywords=311-470CRCT-ND"">Link</a>",Yageo
32,1,TC33X-2-103E,,RV101,Digi-Key,TC33X-103ECT-ND,10k,Potentiometers:Potentiometer_ST32ET_Handsolder,TRIMMER 10K OHM 0.1W J LEAD TOP,C719176,"<a href=""https://www.digikey.com/products/en?keywords=TC33X-103ECT-ND"">Link</a>",Bourns Inc.
33,8, ,DNI,SJ103 SJ104 SJ105 SJ106 SJ107 SJ108 SJ101 SJ102,Digi-Key,np,SolderJumper_2_Open,Wire_Connections_Bridges:Solder-Jumper-NO-SMD-Pad_Small, , ,np, 
34,1, ,DNI,SJ110,Digi-Key,np,SolderJumper_3_Bridged12,Wire_Connections_Bridges:Solder-Jumperx3-NC_1-2_SMD-Pad_Small, , ,np, 
35,1,PTS645SL50SMTR92LFS,,SW101,Digi-Key,CKN9088CT-ND,SPST_small,Buttons_Switches_SMD:PTS645SL50SMTR92,SWITCH TACTILE SPST-NO 0.05A 12V,C221877,"<a href=""https://www.digikey.com/products/en?keywords=CKN9088CT-ND"">Link</a>",C&K
36,1,PCM12SMTR,,SW102,Digi-Key,401-2016-1-ND,5V/12V,Buttons_Switches_SMD:SW_SPDT_PCM12,SWITCH SLIDE SPDT 300MA 6V,C221841,"<a href=""https://www.digikey.com/products/en?keywords=401-2016-1-ND"">Link</a>",C&K
37,1, ,DNI,TP101,Digi-Key,np,Conn_01x04,Pin_Headers:Pin_Header_Straight_1x04, , ,np, 
38,1,F1975NCGI,,U104,Digi-Key,800-3576-ND,F1975NCGI,Housings_DFN_QFN:QFN-20-1EP_4x4mm_Pitch0.5mm,RF ATTENUATOR 31DB 75OHM 20WFQFN,C1525854,"<a href=""https://www.digikey.com/products/en?keywords=800-3576-ND"">Link</a>",Renesas Electronics America Inc
39,1,CD74HC4050M96,,U102,Digi-Key,296-14529-1-ND,CD74HC4050M96,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,IC BUFFER NON-INVERT 6V 16SOIC,C131932,"<a href=""https://www.digikey.com/products/en?keywords=296-14529-1-ND"">Link</a>",Texas Instruments
40,1,LP2992AIM5-3.3/NOPB,,U101,Digi-Key,LP2992AIM5-3.3/NOPBCT-ND,LP2992AIM5-3.3,TO_SOT_Packages_SMD:SOT-23-5,IC REG LINEAR 3.3V 250MA SOT23-5,C37970,"<a href=""https://www.digikey.com/products/en?keywords=LP2992AIM5-3.3/NOPBCT-ND"">Link</a>",Texas Instruments
41,1,DS3231SN#T&R,,U105,Digi-Key,DS3231SN#T&RCT-ND,DS3231,SMD_Packages:SO16,IC RTC CLK/CALENDAR I2C 16-SOIC,C9866,"<a href=""https://www.digikey.com/products/en?keywords=DS3231SN#T&RCT-ND"">Link</a>",Maxim Integrated
42,1,RV-8803-C7-32.768KHZ-3PPM-TA-QC,DNI,U103,Digi-Key,2195-RV-8803-C7-32.768KHZ-3PPM-TA-QCCT-ND,RV-8803-C7,Oddities:RV-3028-C7,IC RTC CLK/CALENDAR I2C 8-SON, ,"<a href=""2195-RV-8803-C7-32.768KHZ-3PPM-TA-QCCT-ND"">Link</a>",Micro Crystal AG
43,2, ,DNI,W101 W102,Digi-Key,np,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01, , ,np, 
