Ref,Val,Package,PosX,PosY,Rot,Side
"P101","ISP/PDI","SM_Pin_Header_Straight_2x03",122.850000,-96.050000,180.000000,bottom
"Q103","PN2222A","SOT-23",103.620000,-123.090000,270.000000,bottom
"R109","10k","R_0805",107.420000,-122.510000,180.000000,bottom
"SJ102","SolderJumper_2_Open","Solder-Jumper-NO-SMD-Pad_Small",99.080000,-111.630000,270.000000,bottom
"SJ103","SolderJumper_2_Open","Solder-Jumper-NO-SMD-Pad_Small",141.620000,-106.240000,0.000000,bottom
"SJ104","SolderJumper_2_Open","Solder-Jumper-NO-SMD-Pad_Small",141.620000,-108.552000,0.000000,bottom
"SJ105","SolderJumper_2_Open","Solder-Jumper-NO-SMD-Pad_Small",141.620000,-110.864000,0.000000,bottom
"SJ106","SolderJumper_2_Open","Solder-Jumper-NO-SMD-Pad_Small",141.620000,-113.176000,0.000000,bottom
"SJ107","SolderJumper_2_Open","Solder-Jumper-NO-SMD-Pad_Small",141.620000,-115.488000,0.000000,bottom
"SJ108","SolderJumper_2_Open","Solder-Jumper-NO-SMD-Pad_Small",141.620000,-117.800000,0.000000,bottom
"SJ110","SolderJumper_3_Bridged12","Solder-Jumperx3-NC_1-2_SMD-Pad_Small",97.090000,-122.730000,0.000000,bottom
